email,response
"Invoice Discrepancy Report Dear Accounts, We have noticed a discrepancy in the invoice. Kindly look into the matter and provide clarification. Regards, Procurement","{""classification"": ""No"", ""confidence"": 66}"
"Payment Processing Update Dear Customer, Kindly provide an update on the payment for invoice #998877. Regards, Shubham","{""classification"": ""No"", ""confidence"": 68}"
"Goods Dispatch Clarification Dear Supplier, Kindly clarify the dispatch status for PO123456. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Order Status Follow-Up Dear Supplier, Kindly follow up on PO234567. Regards, Akshata","{""classification"": ""Yes"", ""confidence"": 75}"
"Customer Support Follow-Up Dear Purva,Just following up to see if your issue has been resolved. Please let us know if you need further assistance.Best regards,Support Team","{""classification"": ""No"", ""confidence"": 89}"
"Invoice Follow-Up Clarification Dear Supplier, Kindly clarify the follow-up details for invoice #998877. Regards, Meera","{""classification"": ""No"", ""confidence"": 64}"
"Payment Clarification Request Dear Sir/Madam, Kindly clarify the payment status for PO12345. Regards, Ajeet","{""classification"": ""No"", ""confidence"": 66}"
"Free Software Trial Offer Sign up today and get a free trial for our software! Hurry, limited offer! Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Delivery Status Follow-Up Dear Supplier, Kindly provide an update on the delivery status for PO234567. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Payment Request Clarification Dear Supplier, Kindly clarify the payment details for invoice #234567. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 67}"
"Salary Payment Confirmation Dear HR, Kindly confirm the salary payment has been processed for this month. Regards, Employee","{'classification': 'Yes', 'confidence': 84}"
"Goods Receipt Inquiry Dear Vendor, Kindly confirm if the goods dispatched match the PO specifications. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 71}"
"Goods Dispatch Follow-Up Dear Supplier, Kindly follow up on the dispatch for PO123456. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 74}"
"Free Course Enrollment Offer Enroll now for free courses and gain access to valuable insights. Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Discount Offer on Products Enjoy a 50% discount on our products today! Don't miss this limited-time offer! Regards, Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Delivery Clarification Request Dear Supplier, Kindly clarify the delivery status for PO987654. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Consultation - Book Now Book a free consultation with our experts today! Regards, Service Team","{""classification"": ""No"", ""confidence"": 87}"
"Goods Dispatch Confirmation Dear Supplier, Kindly confirm the dispatch for PO345678. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Course Enrollment Reminder Don't miss out on free course enrollment! Register now! Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Invoice Payment Follow-Up Dear Customer, Kindly follow up on the payment for invoice #345678. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 69}"
"Order Delivery Confirmation Dear Supplier, Kindly confirm the delivery date for PO234567. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 75}"
